Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
S;"Herd, S; Urland, G; Mingus, B; O'Reilly, R";;"Samsonovich, AV; Johannsdottir, KR";;"Herd, Seth; Urland, Geoffrey; Mingus, Brian; O'Reilly, Randall";;;Human-artificial-intelligence hybrid learning systems;BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES 2011;Frontiers in Artificial Intelligence and Applications;;;;2nd Annual Meeting of the Biologically-Inspired-Cognitive-Architectures-Society (BICA);NOV 04-06, 2011;Arlington, VA;Biologically Inspired Cognit Architectures Soc;;;;;;;;;;;;;;;;;;;;;0922-6389;1879-8314;"978-1-60750-959-2; 978-1-60750-958-5";;;;2011;233;;;;;;132;+;;10.3233/978-1-60750-959-2-132;;;;;;;WOS:000348931200023;;;;;;
S;"Horswill, I; Lisetti, C";;"Samsonovich, AV; Johannsdottir, KR";;"Horswill, Ian; Lisetti, Christine";;;On the Simulation of Human Frailty;BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES 2011;Frontiers in Artificial Intelligence and Applications;;;;2nd Annual Meeting of the Biologically-Inspired-Cognitive-Architectures-Society (BICA);NOV 04-06, 2011;Arlington, VA;Biologically Inspired Cognit Architectures Soc;;;;;;;;Horswill, Ian/B-7175-2009;;;;;;;;;;;;;0922-6389;;"978-1-60750-959-2; 978-1-60750-958-5";;;;2011;233;;;;;;146;+;;10.3233/978-1-60750-959-2-146;;;;;;;WOS:000348931200025;;;;;;
S;"Peck, CC; Kozloski, J";;"Samsonovich, AV; Johannsdottir, KR";;"Peck, Charles C.; Kozloski, James";;;The Computational Basis of Emotions and Implications for Cognitive Architectures;BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES 2011;Frontiers in Artificial Intelligence and Applications;;;;2nd Annual Meeting of the Biologically-Inspired-Cognitive-Architectures-Society (BICA);NOV 04-06, 2011;Arlington, VA;Biologically Inspired Cognit Architectures Soc;;;;;;;;;;;;;;;;;;;;;0922-6389;1879-8314;"978-1-60750-959-2; 978-1-60750-958-5";;;;2011;233;;;;;;269;+;;10.3233/978-1-60750-959-2-269;;;;;;;WOS:000348931200045;;;;;;
S;Stracuzzi, D;;"Samsonovich, AV; Johannsdottir, KR";;Stracuzzi, David;;;A Plausible Logic Inference Engine;BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES 2011;Frontiers in Artificial Intelligence and Applications;;;;2nd Annual Meeting of the Biologically-Inspired-Cognitive-Architectures-Society (BICA);NOV 04-06, 2011;Arlington, VA;Biologically Inspired Cognit Architectures Soc;;;;;;;;;;;;;;;;;;;;;0922-6389;;"978-1-60750-959-2; 978-1-60750-958-5";;;;2011;233;;;;;;364;364;;;;;;;;;WOS:000348931200065;;;;;;
B;"Karlen, W; Floreano, D";;"Babiloni, F; Fred, A; Filipe, J; Gamboa, H";;"Karlen, Walter; Floreano, Dario";;;SLEEPIC Developments for a Wearable On-line Sleep and Wake Discrimination System;BIOSIGNALS 2011;;;;;International Conference on Bio-inspired Systems and Signal Processing;JAN 26-29, 2011;Rome, ITALY;Inst Syst & Technol Informat, Control & Commun, IEEE, Engn Med & Biol Soc, IEEE, Portugal EMBS Chapter, COST ACT Neuromath, European Soc Engn & Med, Biomed Engn Soc;;;;;;;;"Karlen, Walter/AAN-9397-2020; Karlen, Walter/C-6290-2008";"Karlen, Walter/0000-0001-8643-3074; Karlen, Walter/0000-0001-8643-3074";;;;;;;;;;;;;;978-989-8425-35-5;;;;2011;;;;;;;132;137;;;;;;;;;WOS:000308513700024;;;;;;
S;"Hullermeier, E; Schlegel, P";;"Ram, A; Wiratunga, N";;"Huellermeier, Eyke; Schlegel, Patrice";;;Preference-Based CBR: First Steps toward a Methodological Framework;CASE-BASED REASONING RESEARCH AND DEVELOPMENT, ICCBR 2011;Lecture Notes in Artificial Intelligence;;;;19th International Conference on Case-Based Reasoning;SEP 11-14, 2011;London, ENGLAND;;;;;;;;;;;;;;;;;;;;;;0302-9743;;978-3-642-23290-9;;;;2011;6880;;;;;;77;91;;;;;;;;;WOS:000306342100008;;;;;;
S;"Marling, C; Wiley, M; Cooper, T; Bunescu, R; Shubrook, J; Schwartz, F";;"Ram, A; Wiratunga, N";;"Marling, Cindy; Wiley, Matthew; Cooper, Tessa; Bunescu, Razvan; Shubrook, Jay; Schwartz, Frank";;;The 4 Diabetes Support System: A Case Study in CBR Research and Development;CASE-BASED REASONING RESEARCH AND DEVELOPMENT, ICCBR 2011;Lecture Notes in Artificial Intelligence;;;;19th International Conference on Case-Based Reasoning;SEP 11-14, 2011;London, ENGLAND;;;;;;;;;;;;;;;;;;;;;;0302-9743;1611-3349;978-3-642-23290-9;;;;2011;6880;;;;;;137;+;;;;;;;;;WOS:000306342100012;;;;;;
S;"Sanchez-Ruiz, AA; Ontanon, S; Gonzalez-Calero, PA; Plaza, E";;"Ram, A; Wiratunga, N";;"Sanchez-Ruiz, Antonio A.; Ontanon, Santiago; Antonio Gonzalez-Calero, Pedro; Plaza, Enric";;;Measuring Similarity in Description Logics Using Refinement Operators;CASE-BASED REASONING RESEARCH AND DEVELOPMENT, ICCBR 2011;Lecture Notes in Artificial Intelligence;;;;19th International Conference on Case-Based Reasoning;SEP 11-14, 2011;London, ENGLAND;;;;;;;;;"Gonzalez-Calero, Pedro A/B-2935-2009; Sanchez-Ruiz, Antonio A./L-1278-2014";"Gonzalez-Calero, Pedro A/0000-0002-9151-5573; Sanchez-Ruiz, Antonio A./0000-0003-0034-1254";;;;;;;;;;;;0302-9743;1611-3349;978-3-642-23290-9;;;;2011;6880;;;;;;289;+;;;;;;;;;WOS:000306342100022;;;;;;
B;"Sofronie, C; Cirica, R; Zubcov, R; Gostin, C; Popper, M";;Dumitriu, D;;"Sofronie, Corneliu; Cirica, Razvan; Zubcov, R.; Gostin, Cecilia; Popper, Mihai";;;NEUROGENESIS CONCEPT APPLICABLE TO HIGH PERFORMANCE MANAGEMENT OF INTEGRATED ENERGY SYSTEMS;CHANGE MANAGEMENT IN A DYNAMIC ENVIRONMENT;;;;;5th International Conference of Management and Industrial Engineering (ICMIE 2011);OCT 20-21, 2011;Bucharest, ROMANIA;Politehnica Univ Bucharest, Fac Entrepreneurship, Business Engn & Management;;;;;;;;;;;;;;;;;;;;;;;978-973-748-658-5;;;;2011;;;;;;;432;439;;;;;;;;;WOS:000325051100056;;;;;;
B;Kretz, J;;"Skiadas, CH; Dimotikalis, I; Skiadas, C";;Kretz, Johannes;;;Freedom and necessity in computer aided composition: A thinking framework and its application;CHAOS THEORY: MODELING, SIMULATION AND APPLICATIONS;;;;;3rd Chaotic Modeling and Simulation International Conference (CHAOS 2010);JUN 01-04, 2010;Chania, GREECE;;;;;;;;;;;;;;;;;;;;;;;;978-981-4350-33-4;;;;2011;;;;;;;223;230;;;;;;;;;WOS:000394395300026;;;;;;
B;Krishnan, J;;"Laudon, M; Romanowicz, B";;Krishnan, Jay;;;A Wireless Sensor based solution that enables the Enterprise to enable intelligent Energy Monitoring & Management using Artificial intelligence;CLEAN TECHNOLOGY 2011: BIOENERGY, RENEWABLES, STORAGE, GRID, WASTE AND SUSTAINABILITY;;;;;CTSI Clean Technology and Sustainable Industries Conference and Expo, Clean Technology 2011;JUN 13-16, 2011;Boston, MA;Anaheim Ctr New Energy Technol, Austin Energy, Bingham, City Anaheim, Clean Technol & Sustainable Ind Organ, Danfoss, Fraunhofer, Harvard Univ, Jackson Walker L L P, Lockheed Martin, Massachusetts Clean Energy Ctr, Massachusetts Inst Technol, MDB Capital Grp, Nano Sci & Technol Inst, Natl Grid, NE Utilities, Piemonte Agcy Investments Export & Tourism, Res Germany, TechConnect, Canadian Trade Commissioner Serv, Italian Trade Commission, Torino Chamber Commerce;;;;;;;;;;;;;;;;;;;;;;;978-1-4398-8189-7;;;;2011;;;;;;;297;298;;;;;;;;;WOS:000393719000077;;;;;;
S;Irandoust, H;;"Vivacqua, AS; Gutwin, C; Borges, MRS";;Irandoust, Hengameh;;;Interference Management Mechanisms and Socio-cognitive Constructs in Cooperative Relationships;COLLABORATION AND TECHNOLOGY;Lecture Notes in Computer Science;;;;17th Collaboration Researchers International Working Group Conference on Collaboration and Technology;OCT 02-07, 2011;Paraty, BRAZIL;;;;;;;;;;;;;;;;;;;;;;0302-9743;;978-3-642-23800-0;;;;2011;6969;;;;;;45;56;;;;;;;;;WOS:000306504000004;;;;;;
S;"Ozbayoglu, AM; Yuksel, HE";;Dagli, CH;;"Ozbayoglu, A. Murat; Yuksel, H. Ertan";;;Estimation of Multiphase Flow Properties using Computational Intelligence Models;COMPLEX ADAPTIVE SYSTEMS;Procedia Computer Science;;;;Conference of the Complex Adaptive Systems on Responding to Continuous Global Change in Systems Needs;OCT 30-NOV 02, 2011;Chicago, IL;Missouri Univ Sci & Technol, Lockheed Martin, Univ Texas, Res Inst Mfg & Engn Syst (RIMES), Texas A&M Univ;;;;;;;;"Ozbayoglu, Ahmet M/H-2328-2011; Ozbayoglu, Murat/ABB-5563-2020";"Ozbayoglu, Ahmet M/0000-0001-7998-5735; Ozbayoglu, Murat/0000-0001-7998-5735";;;;;;;;;;;;1877-0509;;;;;;2011;6;;;;;;;;;10.1016/j.procs.2011.08.091;;;;;;;WOS:000299124600076;;;;;;
S;"Serpen, G; Li, JK";;Dagli, CH;;"Serpen, Gursel; Li, Jiakai";;;Parallel and distributed computations of maximum independent set by a Hopfield neural net embedded into a wireless sensor network;COMPLEX ADAPTIVE SYSTEMS;Procedia Computer Science;;;;Conference of the Complex Adaptive Systems on Responding to Continuous Global Change in Systems Needs;OCT 30-NOV 02, 2011;Chicago, IL;Missouri Univ Sci & Technol, Lockheed Martin, Univ Texas, Res Inst Mfg & Engn Syst (RIMES), Texas A&M Univ;;;;;;;;;;;;;;;;;;;;;1877-0509;;;;;;2011;6;;;;;;;;;10.1016/j.procs.2011.08.073;;;;;;;WOS:000299124600060;;;;;;
S;"Sharma, DP; Khandelwal, K";;"Das, VV; Thankachan, N";;"Sharma, D. P.; Khandelwal, Kapil";;;Knowledge-Based Systems, Problem Solving Competence and Learnability;COMPUTATIONAL INTELLIGENCE AND INFORMATION TECHNOLOGY;Communications in Computer and Information Science;;;;1st International Conference on Computational Intelligence and Information Technology (CIIT 2011);NOV 07-08, 2011;Pune, INDIA;Assoc Comp Elect Elect Engineers;;;;;;;;Sharma, Durga Prasad/E-7750-2017;Sharma, Durga Prasad/0000-0002-1654-901X;;;;;;;;;;;;1865-0929;1865-0937;978-3-642-25733-9;;;;2011;250;;;;;;543;+;;;;;;;;;WOS:000325662700093;;;;;;
B;"Trigo, P; Coelho, H";;"Madureira, A; Ferreira, J; Vale, Z";;"Trigo, Paulo; Coelho, Helder";;;Collective-Intelligence and Decision-Making;COMPUTATIONAL INTELLIGENCE FOR ENGINEERING SYSTEMS: EMERGENT APPLICATIONS;Intelligent Systems Control and Automation Science and Engineering;;;;International Symposium on Computational Intelligence for Engineering Systems (ISCIES '09);NOV 19-20, 2009;Polytechn Porto, Sch Engn, Porto, PORTUGAL;;Polytechn Porto, Sch Engn;;;;;;;;Coelho, Helder/0000-0001-7622-8624;;;;;;;;;;;;;;978-94-007-0092-5;;;;2011;46;;;;;;61;76;;10.1007/978-94-007-0093-2_4;;;;;;;WOS:000395046300004;;;;;;
B;"Vale, Z; Venayagamoorthy, GK; Ferreira, J; Morais, H";;"Madureira, A; Ferreira, J; Vale, Z";;"Vale, Zita; Venayagamoorthy, Ganesh K.; Ferreira, Judite; Morais, Hugo";;;Computational Intelligence Applications for Future Power Systems;COMPUTATIONAL INTELLIGENCE FOR ENGINEERING SYSTEMS: EMERGENT APPLICATIONS;Intelligent Systems Control and Automation Science and Engineering;;;;International Symposium on Computational Intelligence for Engineering Systems (ISCIES '09);NOV 19-20, 2009;Polytechn Porto, Sch Engn, Porto, PORTUGAL;;Polytechn Porto, Sch Engn;;;;;;;Vale, Zita/N-1643-2019;Vale, Zita/0000-0002-4560-9544;;;;;;;;;;;;;;978-94-007-0092-5;;;;2011;46;;;;;;176;193;;10.1007/978-94-007-0093-2_12;;;;;;;WOS:000395046300012;;;;;;
B;"Fernandez-Ceniceros, J; Lostado-Lorza, R; Fernandez-Martinez, R; Sanz-Garcia, A; Martinez-de-Pison, FJ";;"Onate, E; Owen, DRJ; Peric, D; Suarez, B";;"Fernandez-Ceniceros, Julio; Lostado-Lorza, Ruben; Fernandez-Martinez, Roberto; Sanz-Garcia, Andres; Javier Martinez-de-Pison, Fco";;;PREDICTIVE MODELS FOR BOLTED T. STUB CONNECTIONS COMBINING FEM WITH INTELLIGENT ARTIFICIAL TECHNIQUES;COMPUTATIONAL PLASTICITY XI: FUNDAMENTALS AND APPLICATIONS;;;;;11th International Conference on Computational Plasticity (COMPLAS) - Fundamentals and Applications;SEP 07-09, 2011;Barcelona, SPAIN;;;;;;;;;"Martinez, Roberto Fernandez/K-5770-2014; Sanz-Garcia, Andres/F-7981-2012; Martinez-de-Pison, F. J. FJMPA/H-1502-2012";"Martinez, Roberto Fernandez/0000-0002-9436-6577; Sanz-Garcia, Andres/0000-0003-0413-4965; Martinez-de-Pison, F. J. FJMPA/0000-0002-3063-7374";;;;;;;;;;;;;;978-84-89925-73-1;;;;2011;;;;;;;1478;1489;;;;;;;;;WOS:000313557900135;;;;;;
B;"Santiago, CB; Sousa, A; Reis, LP; Estriga, ML";;"Tavares, JMRS; Jorge, RMN";;"Santiago, Catarina B.; Sousa, Armando; Reis, Luis Paulo; Estriga, Maria Luisa";;;Real Time Colour Based Player Tracking in Indoor Sports;COMPUTATIONAL VISION AND MEDICAL IMAGE PROCESSING: RECENT TRENDS;Computational Methods in Applied Sciences;;;;2nd ECCOMAS Thematic Conference on Computational Vision and Medical Image Processing (VIPimage 2009);OCT 14-16, 2009;Univ Porto, Engn Fac, Porto, PORTUGAL;European Community Computat Methods Appl Sci, Portuguese Assoc Theoret Appl Computat Mech, Univ Porto;Univ Porto, Engn Fac;;;;;;;"Sousa, Armando Jorge/AAC-3579-2020; Reis, Luis Paulo/M-3202-2013";"Sousa, Armando Jorge/0000-0002-0317-4714; Reis, Luis Paulo/0000-0002-4709-1718";;;;;;;;;;;;;;978-94-007-0010-9;;;;2011;19;;;;;;17;35;;10.1007/978-94-007-0011-6_2;;;;;;;WOS:000395366400002;;;;;;
S;"Alipoor, A; Fesharaki, M";;Ting, Z;;"Alipoor, Abdolhossein; Fesharaki, Mehdi";;;Optimal Sensor Deployment for Object Recognition using Artificial Intelligence Methods;COMPUTER COMMUNICATION AND MANAGEMENT;International Proceedings of Computer Science and Information Technology;;;;International Conference on Computer Communication and Management (ICCCM 2011);MAY 02-03, 2011;Sydney, AUSTRALIA;Int Assoc Comp Sci & Informat Technol, Singapore Inst Elect;;;;;;;;;;;;;;;;;;;;;2010-460X;;978-981-08-8636-3;;;;2011;5;;;;;;247;251;;;;;;;;;WOS:000400799700044;;;;;;
S;"Jaryani, F; Sahibudin, S; Ibrahim, S; Daruis, R; Nasab, SS; Jamshidi, J";;Ting, Z;;"Jaryani, Farhang; Sahibudin, Shamsul; Ibrahim, Suhaimi; Daruis, Rusni; Nasab, Samaneh Salehi; Jamshidi, Jamshid";;;INTELLIGENT REFLECTIVE E-PORTFOLIO FARMEWORK BASED ON ARTIFICIAL INTELLIGENT SCHEDULING TECHNIQUES;COMPUTER COMMUNICATION AND MANAGEMENT;International Proceedings of Computer Science and Information Technology;;;;International Conference on Computer Communication and Management (ICCCM 2011);MAY 02-03, 2011;Sydney, AUSTRALIA;Int Assoc Comp Sci & Informat Technol, Singapore Inst Elect;;;;;;;;"Sahibuddin, Shamsul/K-7938-2012; Jaryani, Farhang/AAR-5512-2020";Jaryani, Farhang/0000-0001-8374-6681;;;;;;;;;;;;2010-460X;;978-981-08-8636-3;;;;2011;5;;;;;;562;564;;;;;;;;;WOS:000400799700103;;;;;;
S;"Warwick, K; Nasuto, SJ; Becerra, VM; Whalley, BJ";;Cai, Y;;"Warwick, Kevin; Nasuto, Slawomir J.; Becerra, Victor M.; Whalley, Benjamin J.";;;Experiments with an In-Vitro Robot Brain;COMPUTING WITH INSTINCT: REDISCOVERING ARTIFICIAL INTELLIGENCE;Lecture Notes in Artificial Intelligence;;;;1st Instinctive Computing Workshop;JUN 09-10, 2009;Carnegie Mellon Univ, Pittsburgh, PA;Natl Sci Fdn, Carnegie Mellon Univ, Cylab, Google;Carnegie Mellon Univ;;;;;;;Becerra, Victor/AAA-1361-2020;"Becerra, Victor/0000-0002-3790-4236; Warwick, Kevin/0000-0003-3722-9960; Nasuto, Slawomir/0000-0001-9414-9049";;;;;;;;;;;;0302-9743;1611-3349;"978-3-642-19756-7; 978-3-642-19757-4";;;;2011;5897;;;;;;1;15;;;;;;;;;WOS:000312439100001;;;;;;
B;"Liu, J; Zhao, S; Zhao, Q";;;CCEOC;"Liu, Jing; Zhao, Shan; Zhao, Qian";;;Research and Innovation on the Course of Data Image Processing;CONFERENCE ON CREATIVE EDUCATION (CCE2011);;;;;Conference on Creative Education (CCE 2011);APR 08-10, 2011;Wuhan, PEOPLES R CHINA;Wuhan Univ, Huazhong Normal Univ, James Madison Univ, Sci Res Publish, Engn Informat Inst, Chongqing VIP Informat Co, Ltd;;;;;;;;;;;;;;;;;;;;;;;978-1-935068-26-6;;;;2011;;;;;;;186;+;;;;;;;;;WOS:000297713000046;;;;;;
S;"Shourangiz, E; Mohamad, MI; Hassanabadi, MS; Banihashemi, SS; Bakhtiari, M; Torabi, M";;Zhang, M;;"Shourangiz, Ehsan; Mohamad, Ibrahim Mohamad; Hassanabadi, Mahmoud Shakouri; Banihashemi, Seyed Saeed; Bakhtiari, Mohsen; Torabi, Mohsen";;;Flexibility of BIM towards Design Change;CONSTRUCTION AND PROJECT MANAGEMENT, ICCPM 2011;International Proceedings of Economics Development and Research;;;;2nd International Conference on Construction and Project Management (ICCPM 2011);SEP 16-18, 2011;Singapore, SINGAPORE;;;;;;;;;Banihashemi, Saeed/W-2808-2018;Banihashemi, Saeed/0000-0002-7438-1235;;;;;;;;;;;;2010-4626;;978-981-08-9176-3;;;;2011;15;;;;;;79;83;;;;;;;;;WOS:000392456000016;;;;;;
B;"Ilie, C; Ilie, M; Topalu, AM; Melnic, L";;Soliman, KS;;"Ilie, Constantin; Ilie, Margareta; Topalu, Ana-Maria; Melnic, Lucia";;;The Use of Artificial Intelligence for the Simulation of the US Consumer Credit Fluctuation;CREATING GLOBAL COMPETITIVE ECONOMIES: A 360-DEGREE APPROACH, VOLS 1-4;;;;;17th International-Business-Information-Management-Association Conference;NOV 14-15, 2011;Milan, ITALY;Int Business Informat Management Assoc;;;;;;;;"Ilie, Constantin D./D-1590-2015; Lucia, Melnic/H-9642-2019";"Ilie, Constantin D./0000-0002-1086-2371; Ilie, Margareta/0000-0001-9048-4747";;;;;;;;;;;;;;978-0-9821489-6-9;;;;2011;;;;;;;2415;2431;;;;;;;;;WOS:000317550001132;;;;;;
S;"Chow, YW; Susilo, W";;"Lin, DD; Tsudik, G; Wang, XY";;"Chow, Yang-Wai; Susilo, Willy";;;AniCAP: An Animated 3D CAPTCHA Scheme Based on Motion Parallax;CRYPTOLOGY AND NETWORK SECURITY;Lecture Notes in Computer Science;;;;10th International Conference on Cryptography and Network Security (CANS 2011);DEC 10-12, 2011;Sanya, PEOPLES R CHINA;Natl Nat Sci Fdn China, Shandong Univ;;;;;;;;Susilo, Willy/A-3724-2008;Chow, Yang-Wai/0000-0003-3348-7014;;;;;;;;;;;;0302-9743;1611-3349;"978-3-642-25512-0; 978-3-642-25513-7";;;;2011;7092;;;;;;255;+;;;;;;;;;WOS:000307747400018;;;;;;
B;"Stevovic, S; Stamatovic, M; Ivanovic, G";;"Schleiss, AJ; Boes, RM";;"Stevovic, S.; Stamatovic, M.; Ivanovic, G.";;;Methodological approach and artificial intelligence application as a solution for environmental conflict related to large dams;DAMS AND RESERVOIRS UNDER CHANGING CHALLENGES;;;;;International Symposium on Dams and Reservoirs Under Changing Challenges During the 79th Annual Meeting of the International-Commission-on-Large-Dams (ICOLD);JUN 01, 2011;Lucerne, SWITZERLAND;Int Commiss Large Dams, KWO, STUCKY, Marti Holding AG Bauunternehmungen, BKW FMB Energie AG, Swiss Confederat, Swiss Fed Off Energy, POYRY, Huggenberger AG, EWZ Energie, ALPIQ, REPOWER, Ofima Maggia Kraftwerke AG, Grande Dixence, Holcim, KWZ Kraftwerke Zervreila AG, FMV, EnAlpin, SIG, SFMCP, Kraftwerke KHR Hinterrhein AG, EKWOEE, ACE, IM;;;;;;;;;Stevovic, Svetlana/0000-0001-8913-802X;;;;;;;;;;;;;;"978-0-203-80409-4; 978-0-415-68267-1";;;;2011;;;;;;;785;790;;;;;;;;;WOS:000340662500094;;;;;;
S;"Goumeidane, AB; Khamadja, M; Nacereddine, N";;"Cherifi, H; Zain, JM; ElQawasmeh, E";;"Goumeidane, Aicha Baya; Khamadja, Mohammed; Nacereddine, Nafaa";;;Adaptive and Statistical Polygonal Curve for Multiple Weld Defects Detection in Radiographic Images;DIGITAL INFORMATION AND COMMUNICATION TECHNOLOGY AND ITS APPLICATIONS, PT I;Communications in Computer and Information Science;;;;International Conference on Digital Information and Communication Technology and Its Applications;JUN 21-23, 2011;Univ Bourgogne, Dijon, FRANCE;Springer;Univ Bourgogne;;;;;;;"Goumeidane, Aicha Baya/A-1109-2011; Nacereddine, Nafaa/D-4425-2014";Nacereddine, Nafaa/0000-0003-1351-2200;;;;;;;;;;;;1865-0929;1865-0937;978-3-642-21983-2;;;;2011;166;;1;;;;184;+;;;;;;;;;WOS:000307036100016;;;;;;
S;"Mini, S; Udgata, SK; Sabat, SL";;"Natarajan, R; Ojo, A";;"Mini, S.; Udgata, Siba K.; Sabat, Samrat L.";;;Artificial Bee Colony Based Sensor Deployment Algorithm for Target Coverage Problem in 3-D Terrain;DISTRIBUTED COMPUTING AND INTERNET TECHNOLOGY;Lecture Notes in Computer Science;;;;5th International Conference on Distributed Computing and Internet Technologies (ICDCIT);DEC 10-12, 2008;New Delhi, INDIA;KIIT Univ;;;;;;;;Udgata, Siba K./U-2992-2019;"Sabat, Samrat/0000-0002-1197-2943; Udgata, Siba/0000-0001-8314-2618";;;;;;;;;;;;0302-9743;1611-3349;978-3-642-19055-1;;;;2011;6536;;;;;;313;+;;;;;;;;;WOS:000296894400024;;;;;;
S;"Brazdil, P; Teixeira, F";;"Peixoto, MM; Pinto, AA; Rand, DA";;"Brazdil, Pavel; Teixeira, Frederico";;;Microeconomic Model Based on MAS Framework: Modeling an Adaptive Producer;DYNAMICS, GAMES AND SCIENCE I;Springer Proceedings in Mathematics;;;;International Conference on Dynamical Systems and Game Theory in Honor of Mauricio Peixoto and David Rand;SEP 08-12, 2008;Univ Minho, Braga, PORTUGAL;;Univ Minho;;;;;;;;Brazdil, Pavel/0000-0002-4720-0486;;;;;;;;;;;;2190-5614;;"978-3-642-11456-4; 978-3-642-11455-7";;;;2011;1;;;;;;139;157;;10.1007/978-3-642-11456-4_9;;;;;;;WOS:000393993000009;;;;;;
S;Blobel, B;;"StoicuTivader, L; Blobel, B; Marcun, T; Orel, A";;Blobel, Bernd;;;Ontologies, Knowledge Representation, Artificial Intelligence - Hype or Prerequisites for International pHealth Interoperability?;E-HEALTH ACROSS BORDERS WITHOUT BOUNDARIES: E-SALUS TRANS CONFINIA SINE FINIBUS;Studies in Health Technology and Informatics;;;;11th European-Federation-of-Medical-Informatics (EFMI) Special Topic Conference (STC);APR 14-15, 2011;Lasko, SLOVENIA;European Federat Med Informat, Slovenian Med Informat Soc;;;;;;;;;;;;;;;;;;;;;0926-9630;;978-1-60750-735-2;;;;2011;165;;;;;;11;20;;10.3233/978-1-60750-735-2-11;;;;;;;WOS:000392233300002;21685580;;;;;
S;Krejcar, O;;"Yonazi, JJ; Sedoyeka, E; Ariwa, E; ElQawasmeh, E";;Krejcar, Ondrej;;;Utilization of C# Neural Networks Library in Industry Applications;E-TECHNOLOGIES AND NETWORKS FOR DEVELOPMENT;Communications in Computer and Information Science;;;;1st International Conference on e-Technologies and Networks for Development (ICeND 2011);AUG 03-05, 2011;Inst Finance Management, Dar es Salaam, TANZANIA;Springer, Inst Finance Management, Soc Digital Informat & Wireless Commun;Inst Finance Management;;;;;;;Krejcar, Ondrej/A-8639-2008;Krejcar, Ondrej/0000-0002-5992-2574;;;;;;;;;;;;1865-0929;1865-0937;978-3-642-22728-8;;;;2011;171;;;;;;61;72;;;;;;;;;WOS:000296263100006;;;;;;
B;"Coskun, E; Cagdas, G";;"Zupancic, T; Juvancic, M; Verovsek, S; Jutraz, A";;"Coskun, Emirhan; Cagdas, Gulen";;;An Integrated Model For Emergent City Behavior Based On User Movements;ECAADE 2011: RESPECTING FRAGILE PLACES;;;;;29th Conference on Education in Computer Aided Architectural Design in Europe (eCAADe);SEP 21-24, 2011;Univ Ljubljana, Fac Architecture, Ljubljana, SLOVENIA;Slovenian Res Agcy, Autodesk, Bentley, Butan Plin, IB PROCADD, Pekarna Hlebcek;Univ Ljubljana, Fac Architecture;;;;;;;Cagdas, Gulen/M-4230-2015;Cagdas, Gulen/0000-0001-8853-4207;;;;;;;;;;;;;;978-9-4912070-1-3;;;;2011;;;;;;;159;165;;;;;;;;;WOS:000335665500018;;;;;;
B;"Langenhan, C; Hass, S; Weber, M; Petzold, F; Liwicki, M; Dengel, A";;"Zupancic, T; Juvancic, M; Verovsek, S; Jutraz, A";;"Langenhan, Christoph; Hass, Sebastian; Weber, Markus; Petzold, Frank; Liwicki, Marcus; Dengel, Andreas";;;Investigating research strategies for accessing knowledge stored in semantic models;ECAADE 2011: RESPECTING FRAGILE PLACES;;;;;29th Conference on Education in Computer Aided Architectural Design in Europe (eCAADe);SEP 21-24, 2011;Univ Ljubljana, Fac Architecture, Ljubljana, SLOVENIA;Slovenian Res Agcy, Autodesk, Bentley, Butan Plin, IB PROCADD, Pekarna Hlebcek;Univ Ljubljana, Fac Architecture;;;;;;;;;;;;;;;;;;;;;;978-9-4912070-1-3;;;;2011;;;;;;;403;411;;;;;;;;;WOS:000335665500046;;;;;;
