Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
J;Riederer, R;;;;Riederer, Rachel;;;DEEP MEDICINE How Artificial Intelligence Can Make Healthcare Human Again;NEW YORK TIMES BOOK REVIEW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0028-7806;;;;;MAY 5;2019;124;18;;;;;26;26;;;;;;;;;WOS:000467000400029;;;;;;
J;"Chaix, B; Bibault, JE; Pienkowski, A; Delamon, G; Guillemasse, A; Nectoux, P; Brouard, B";;;;"Chaix, Benjamin; Bibault, Jean-Emmanuel; Pienkowski, Arthur; Delamon, Guillaume; Guillemasse, Arthur; Nectoux, Pierre; Brouard, Benoit";;;When Chatbots Meet Patients: One-Year Prospective Study of Conversations Between Patients With Breast Cancer and a Chatbot;JMIR CANCER;;;;;;;;;;;;;;;;;"Chaix, Benjamin/0000-0001-5934-9774; Pienkowski, Arthur/0000-0003-2215-5452; Bibault, Jean-Emmanuel/0000-0002-1728-6776";;;;;;;;;;;;2369-1999;;;;;MAY 2;2019;5;1;;;;;;;e12856;10.2196/12856;;;;;;;WOS:000466917400001;31045505;;;;;
J;"Bellemo, V; Lim, ZW; Lim, G; Nguyen, QD; Xie, YC; Yip, MYT; Hamzah, H; Ho, JY; Lee, XQ; Hsu, WN; Lee, ML; Musonda, L; Chandran, M; Chipalo-Mutati, G; Muma, M; Tan, GSW; Sivaprasad, S; Menon, G; Wong, TY; Ting, DSW";;;;"Bellemo, Valentina; Lim, Zhan W.; Lim, Gilbert; Nguyen, Quang D.; Xie, Yuchen; Yip, Michelle Y. T.; Hamzah, Haslina; Ho, Jinyi; Lee, Xin Q.; Hsu, Wynne; Lee, Mong L.; Musonda, Lillian; Chandran, Manju; Chipalo-Mutati, Grace; Muma, Mulenga; Tan, Gavin S. W.; Sivaprasad, Sobha; Menon, Geeta; Wong, Tien Y.; Ting, Daniel S. W.";;;Artificial intelligence using deep learning to screen for referable and vision-threatening diabetic retinopathy in Africa: a clinical validation study;LANCET DIGITAL HEALTH;;;;;;;;;;;;;;;;Wong, Tien Y/AAC-9724-2020;Wong, Tien Y/0000-0002-8448-1264;;;;;;;;;;;;;2589-7500;;;;MAY;2019;1;1;;;;;E35;E44;;10.1016/S2589-7500(19)30004-4;;;;;;;WOS:000525867400011;;;;;;
J;Mathenge, WC;;;;Mathenge, Wanjiku Ciku;;;Artificial intelligence for diabetic retinopathy screening in Africa;LANCET DIGITAL HEALTH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2589-7500;;;;MAY;2019;1;1;;;;;E6;E7;;10.1016/S2589-7500(19)30009-3;;;;;;;WOS:000525867400004;;;;;;
J;"Panch, T; Pearson-Stuttard, J; Greaves, F; Atun, R";;;;"Panch, Trishan; Pearson-Stuttard, Jonathan; Greaves, Felix; Atun, Rifat";;;Artificial intelligence: opportunities and risks for public health;LANCET DIGITAL HEALTH;;;;;;;;;;;;;;;;Greaves, Felix/A-1324-2012;Greaves, Felix/0000-0001-9393-3122;;;;;;;;;;;;;2589-7500;;;;MAY;2019;1;1;;;;;E13;E14;;10.1016/S2589-7500(19)30002-0;;;;;;;WOS:000525867400007;;;;;;
J;"Mendes, AJ; da Rosa, AM; da Rosa, IO";;;;"Mendes, Alexandre Jose; da Rosa, Alexandre Morais; da Rosa, Izaias Otacilio";;;Testing the Methodology Multicriteria Decision Aid - Constructivist (MCDA-C) in the construction of judicial decisions stability support algorithms;REVISTA BRASILEIRA DE DIREITO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1807-1228;2238-0604;;;;MAY-AUG;2019;15;2;;;;;281;305;;10.18256/2238-0604.2019.v15i2.3650;;;;;;;WOS:000516825200012;;;;;;
J;Kadam, D;;;;Kadam, Dinesh;;;Artificial intelligence (AI)-An Inflection Point In the Global History and its Significance For a National Strategy;INDIAN JOURNAL OF PLASTIC SURGERY;;;;;;;;;;;;;;;;;Kadam, Dinesh/0000-0001-9091-6650;;;;;;;;;;;;0970-0358;1998-376X;;;;MAY;2019;52;2;;;;;145;147;;10.1055/s-0039-1700367;;;;;;;WOS:000514444400001;31602127;;;;;
J;Bhattacharya, S;;;;Bhattacharya, Sujit;;;Some Salient Aspects of Machine Learning Research: A Bibliometric Analysis;JOURNAL OF SCIENTOMETRIC RESEARCH;;;;;;;;;;;;;;;;Bhattacharya, Sujit/AAH-2660-2020;Bhattacharya, Sujit/0000-0002-6769-8293;;;;;;;;;;;;2321-6654;2320-0057;;;;MAY-AUG;2019;8;2;;;SI;;S85;S92;;10.5530/jscires.8.2.26;;;;;;;WOS:000506037200007;;;;;;
J;"Devaraj, H; Makhija, S; Basak, S";;;;"Devaraj, Harsha; Makhija, Simran; Basak, Suryoday";;;On the Implications of Artificial Intelligence and its Responsible Growth;JOURNAL OF SCIENTOMETRIC RESEARCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2321-6654;2320-0057;;;;MAY-AUG;2019;8;2;;;SI;;S2;S6;;10.5530/jscires.8.2.21;;;;;;;WOS:000506037200002;;;;;;
J;"Ene, I; Pop, MI; Nistoreanu, B";;;;"Ene, Irina; Pop, Mihai-Ionut; Nistoreanu, Bogdan";;;Qualitative and quantitative Analysis of consumers perception regarding anthropomorphic AI designs;PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON BUSINESS EXCELLENCE;;;;;13th International Conference on Business Excellence (ICBE) - Sustainable Business Models and Innovation in the Knowledge Economy;MAR 21-22, 2019;Bucharest, ROMANIA;Bucharest Univ Econ Studies, Soc Business Excellence, Bucharest Univ Econ Studies, Fac Business Adm Foreign Languages, Dept Business Adm Foreign Languages, UNESCO Chair;;;;;;;;;;;;;;;;;;;;;2502-0226;2558-9652;;;;MAY;2019;13;1;;;;;707;716;;10.2478/picbe-2019-0063;;;;;;;WOS:000501603000063;;;;;;
J;Zavera, IC;;;;Zavera, Ioana Coralia;;;The analysis of the response from tertiary education programs to the challenges of the Fourth Industrial Revolution;PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON BUSINESS EXCELLENCE;;;;;13th International Conference on Business Excellence (ICBE) - Sustainable Business Models and Innovation in the Knowledge Economy;MAR 21-22, 2019;Bucharest, ROMANIA;Bucharest Univ Econ Studies, Soc Business Excellence, Bucharest Univ Econ Studies, Fac Business Adm Foreign Languages, Dept Business Adm Foreign Languages, UNESCO Chair;;;;;;;;;;;;;;;;;;;;;2502-0226;2558-9652;;;;MAY;2019;13;1;;;;;1261;1266;;10.2478/picbe-2019-0111;;;;;;;WOS:000501603000111;;;;;;
J;"Tan, Z; Scheetz, J; He, MG";;;;"Tan, Zachary; Scheetz, Jane; He, Mingguang";;;Artificial Intelligence in Ophthalmology: Accuracy, Challenges, and Clinical Application;ASIA-PACIFIC JOURNAL OF OPHTHALMOLOGY;;;;;;;;;;;;;;;;"He, Mingguang/AAY-5239-2020; Tan, Zachary/B-4529-2016";"He, Mingguang/0000-0002-6912-2810; Tan, Zachary/0000-0003-0213-9287";;;;;;;;;;;;;2162-0989;;;;MAY-JUN;2019;8;3;;;;;197;199;;10.22608/APO.2019122;;;;;;;WOS:000500779400002;31179666;;;;;
J;"Balyen, L; Peto, T";;;;"Balyen, Lokman; Peto, Tunde";;;Promising Artificial Intelligence-Machine Learning-Deep Learning Algorithms in Ophthalmology;ASIA-PACIFIC JOURNAL OF OPHTHALMOLOGY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2162-0989;;;;MAY-JUN;2019;8;3;;;;;264;272;;10.22608/APO.2018479;;;;;;;WOS:000500779400013;31149787;;;;;
J;Calvo, P;;;;Calvo, Patrici;;;Bioethics of Things: on the algorithmization of moral deliberation in clinical practice;FILOSOFIA UNISINOS;;;;;;;;;;;;;;;;Calvo, Patrici/AAA-9160-2019;Calvo, Patrici/0000-0002-3228-9019;;;;;;;;;;;;1519-5023;1984-8234;;;;MAY-AUG;2019;20;2;;;;;155;162;;10.4013/fsu.2019.202.05;;;;;;;WOS:000485962700005;;;;;;
J;"Lin, W; Goncalves, DA; Pereira, ADP; Pereira, M; Weingaertner, WL";;;;"Lin, Wei; Goncalves, Denise Albertazzi; Pinto Pereira, Adriano de Souza; Pereira, Milton; Weingaertner, Walter Lindolfo";;;Quality analysis method for powder deposited layers applicable to selective laser sintering and selective laser melting processes;JOURNAL OF LASER APPLICATIONS;;;;;International Congress on Applications of Lasers and Electro-Optics (ICALEO);2018;Orlando, FL;Laser Inst Amer;;;;;;;;Pereira, Milton/AAP-1710-2020;"Pereira, Milton/0000-0001-7059-5423; de Souza Pinto Pereira, Adriano/0000-0001-7365-5401; Albertazzi Goncalves, Denise/0000-0003-3106-6128; Lin, Wei/0000-0001-5139-700X; Weingaertner, Walter Lindolfo/0000-0001-8707-2776";;;;;;;;;;;;1042-346X;1938-1387;;;;MAY;2019;31;2;;;;;;;22306;10.2351/1.5096144;;;;;;;WOS:000484435200036;;;;;;
J;Rocha, T;;;;Rocha, Tacia;;;ARTIFICIAL INTELLIGENCE, EDUCATION AND WORK: INTERVIEW WITH ERIC AISLAN ANTONELO;TEXTO LIVRE-LINGUAGEM E TECNOLOGIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1983-3652;;;;;MAY-AUG;2019;12;2;;;;;214;220;;10.17851/1983-3652.12.2.214-220;;;;;;;WOS:000483977600013;;;;;;
J;Tolcheev, VO;;;;Tolcheev, V. O.;;;Research and Analysis of the Subject Area of Deep Learning;AUTOMATIC DOCUMENTATION AND MATHEMATICAL LINGUISTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0005-1055;1934-8371;;;;MAY;2019;53;3;;;;;103;113;;10.3103/S000510551903004X;;;;;;;WOS:000482919700001;;;;;;
J;Pena, AAR;;;;Rendon Pena, Andrea Alejandra;;;Robot-Proof: Higher Education in the age of artificial intelligence;INNOVACION EDUCATIVA-MEXICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1665-2673;;;;;MAY-AUG;2019;19;80;;;;;181;183;;;;;;;;;WOS:000481633200010;;;;;;
J;Alreshidi, E;;;;Alreshidi, Eissa;;;Smart Sustainable Agriculture (SSA) Solution Underpinned by Internet of Things (IoT) and Artificial Intelligence (AI);INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;;;;;;;;;;;;;;;;Alreshidi, Eissa/AAB-3291-2020;;;;;;;;;;;;;2158-107X;2156-5570;;;;MAY;2019;10;5;;;;;93;102;;;;;;;;;WOS:000476620600013;;;;;;
J;"ElDin, DM; Taha, MHN; Khalifa, NEM";;;;"ElDin, Doaa Mohey; Taha, Mohamed Hamed N.; Khalifa, Nour Eldeen M.";;;SentiNeural: A Depression Clustering Technique for Egyptian Women Sentiments;INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS;;;;;;;;;;;;;;;;"Taha, Mohamed Hamed N./H-9470-2015; Khalifa, Nour Eldeen M./M-5310-2019";"Taha, Mohamed Hamed N./0000-0003-0200-2918; Khalifa, Nour Eldeen M./0000-0001-8614-9057";;;;;;;;;;;;2158-107X;2156-5570;;;;MAY;2019;10;5;;;;;550;555;;;;;;;;;WOS:000476620600072;;;;;;
J;Kulikov, SB;;;;Kulikov, Sergey Borisovich;;;Fictionalism and Logical Difficulties in the Differentiation of Artificial and Natural Types of Intelligence;TOMSK STATE UNIVERSITY JOURNAL;;;;;;;;;;;;;;;;Kulikov, Sergey B./I-2683-2014;Kulikov, Sergey B./0000-0002-0913-9290;;;;;;;;;;;;1561-7793;1561-803X;;;;MAY;2019;;442;;;;;82;86;;10.17223/15617793/442/10;;;;;;;WOS:000475492100010;;;;;;
J;"Zucatelli, PJ; Nascimento, GS; Aylas, GYR; Souza, NBP; Kitagawa, YKL; Santos, AAB; Arce, AMG; Moreira, DM";;;;"Zucatelli, P. J.; Nascimento, G. S.; Aylas, G. Y. R.; Souza, N. B. P.; Kitagawa, Y. K. L.; Santos, A. A. B.; Arce, A. M. G.; Moreira, D. M.";;;Short-term wind speed forecasting in Uruguay using computational intelligence;HELIYON;;;;;;;;;;;;;;;;Moreira, Davidson Martins/AAE-7847-2019;"Moreira, Davidson Martins/0000-0002-0902-5218; Zucatelli, Pedro Junior/0000-0002-6744-5376";;;;;;;;;;;;2405-8440;;;;;MAY;2019;5;5;;;;;;;e01664;10.1016/j.heliyon.2019.e01664;;;;;;;WOS:000473561400097;31193100;;;;;
J;"Borrelli, P; Henrik, K; Enqvist, O; Polymeri, E; Ohlsson, M; Elin, T; Edenbrandt, L";;;;"Borrelli, Pablo; Henrik, Kjalhede; Enqvist, Olof; Polymeri, Eirini; Ohlsson, Mattias; Elin, Tragayrdh; Edenbrandt, Lars";;;Prognostic value of automatically acquired biomarkers using artificial intelligence in 18F-Choline PET/CT in high-risk prostate cancer.;JOURNAL OF NUCLEAR MEDICINE;;;;;Annual Meeting of the Society-of-Nuclear-Medicine-and-Molecular-Imaging (SNMMI);JUN 22-25, 2019;Anaheim, CA;Soc Nucl Med & Mol Imaging;;;;;;;;;;;;;;;;;;;;;0161-5505;1535-5667;;;;MAY 1;2019;60;;;1;;1592;;;;;;;;;;;WOS:000473116801627;;;;;;
